Categorias,Perfis,Serviços,URL,fonte,id_unico,data_extracao
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,"Solicitação de cópia de documentos, processos ou outra relativa a benefícios fiscais",https://www.catalogo.sefaz.ms.gov.br/solicitacao-de-copia-de-documentos-processos-ou-outra-relativa-a-beneficios-fiscais/,Carta de Serviço,0,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Produtor Rural,Nota fiscal eletrônica (NF-e) – credenciamento,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-eletronica-nf-e-credenciamento/,Carta de Serviço,1,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Créditos Fiscais - CAP;Créditos Fiscais - CCIS,Produtor Rural,ICMS – comunicação de registro extemporâneo de crédito fiscal,https://www.catalogo.sefaz.ms.gov.br/icms-comunicacao-de-registro-extemporaneo-de-credito-fiscal/,Carta de Serviço,2,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Sistema Público de Escrituração Digital (SPED) - Documentos Fiscais Eletrônicos (DFE),Produtor Rural,Escrituração fiscal digital (EFD) – credenciamento voluntário,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-credenciamento-voluntario/,Carta de Serviço,3,2025-08-14
Agropecuária;Documentos Fiscais - CAP;Notícias,Produtor Rural,Nota fiscal de produtor eletrônica (NFP-e) – transferência interestadual de mercadorias – emissão,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-transferencia-interestadual-de-mercadorias-emissao/,Carta de Serviço,4,2025-08-14
Agropecuária;Cadastro Fiscal - CAP;Cadastro Fiscal - CCIS;Comércio Indústria e Serviços,Produtor Rural,Exclusão ou inclusão de pessoa no quadro societário de empresa inscrita no CCE,https://www.catalogo.sefaz.ms.gov.br/exclusao-ou-inclusao-de-pessoa-no-quadro-societario-de-empresa-inscrita-no-cce/,Carta de Serviço,5,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Autorização específica – dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais (art. 72, V do Anexo V ao RICMS) – apenas para usinas e industriais de combustíveis, derivados ou não de petróleo",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-art-72-v-do-anexo-v-ao-ricms-apenas-para-usinas-e-industriais-de-combu/,Carta de Serviço,6,2025-08-14
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Produtor Rural,"Autorização específica – dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais – para outras empresas (que NÃO SE ENQUADRAM como: cerealistas ou comercializadoras de cereais, usinas ou industriais de combustíveis, frigoríficos e atacadistas de carne)",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-para-outras-empresas-que-nao-se-enquadram-como-cerealistas-ou-comerciali/,Carta de Serviço,7,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;e-Fazenda;e-Fazenda;e-Fazenda;e-Fazenda,Produtor Rural,"Procuração digital para acesso ao e-Fazenda – cadastro de procurador/representante legal em caso de incapacidade, espolio e demanda judicial",https://www.catalogo.sefaz.ms.gov.br/procuracao-digital-para-acesso-ao-e-fazenda-cadastro-de-procurador-representante-legal-em-caso-de-incapacidade-espolio-e-demanda-judicial/,Carta de Serviço,8,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Portal e-Fazenda;Portal e-Fazenda;Portal e_Fazenda,Produtor Rural,e-Fazenda – cadastro,https://www.catalogo.sefaz.ms.gov.br/e-fazenda-cadastro/,Carta de Serviço,9,2025-08-14
Agropecuária;Cadastro Fiscal - CAP,Produtor Rural,Desvincular CAR – Cadastro Ambiental Rural por transmissão de propriedade,https://www.catalogo.sefaz.ms.gov.br/desvincular-car-cadastro-ambiental-rural-por-transmissao-de-propriedade/,Carta de Serviço,10,2025-08-14
Agropecuária;Cadastro Fiscal;Cadastro Fiscal - CAP;Cadastro Fiscal - CCIS;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Produtor Rural,Providência cadastral para apreciação da Superintendência,https://www.catalogo.sefaz.ms.gov.br/providencia-cadastral-para-apreciacao-da-superintendencia/,Carta de Serviço,11,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,Documentação fiscal solicitada por terceiro,https://www.catalogo.sefaz.ms.gov.br/documentacao-fiscal-solicitada-por-terceiro/,Carta de Serviço,12,2025-08-14
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Produtor Rural,Demonstrativos de PPD de ICMS e ITCD,https://www.catalogo.sefaz.ms.gov.br/demonstrativos-de-ppd-de-icms-e-itcd/,Carta de Serviço,13,2025-08-14
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Produtor Rural,Microempresa Simples Nacional – reconsideração da análise para enquadramento no benefício do Decreto nº 16.177/2023,https://www.catalogo.sefaz.ms.gov.br/microempresa-simples-nacional-reconsideracao-da-analise-para-enquadramento-no-beneficio-do-decreto-no-16-177-2023/,Carta de Serviço,14,2025-08-14
Agropecuária;Cadastro Fiscal - CAP,Produtor Rural,Cadastro da agropecuária (CAP) – inscrição de pescador profissional,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-pescador-profissional/,Carta de Serviço,15,2025-08-14
