servico_carta,servico_site,similaridade,categoria_carta,categoria_site,perfil_carta,perfil_site,url_carta,url_site
Nota fiscal eletrônica (NF-e) – credenciamento,Nota Fiscal Avulsa Eletrônica (NFA-e) – Cancelamento extemporâneo,0.739,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Nota Fiscal Avulsa Eletrônica,Agropecuária,Cidadão,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-eletronica-nf-e-credenciamento/,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-avulsa-eletronica-nfa-e-cancelamento-extemporaneo/
Nota fiscal eletrônica (NF-e) – credenciamento,Nota Fiscal Avulsa Eletrônica (NFA–e) – Emissão,0.731,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Nota Fiscal Avulsa Eletrônica,Agropecuária,Cidadão,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-eletronica-nf-e-credenciamento/,http://www.catalogo.sefaz.ms.gov.br/emissao-nota-fiscal-avulsa-eletronica-nfa-e/
Nota fiscal eletrônica (NF-e) – credenciamento,Nota Fiscal Avulsa Eletrônica (NFA-e) – Cancelamento extemporâneo,0.739,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Documentos Fiscais Eletrônicos,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-eletronica-nf-e-credenciamento/,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-avulsa-eletronica-nfa-e-cancelamento-extemporaneo/
Escrituração fiscal digital (EFD) – credenciamento voluntário,Escrituração Fiscal Digital (EFD) – Entrega,0.769,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Sistema Público de Escrituração Digital (SPED) - Documentos Fiscais Eletrônicos (DFE),Escrituração Fiscal Digital,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-credenciamento-voluntario/,http://www.catalogo.sefaz.ms.gov.br/entrega-da-escrituracao-fiscal-digital-efd/
Escrituração fiscal digital (EFD) – credenciamento voluntário,Escrituração Fiscal Digital (EFD) – Retificação,0.759,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Sistema Público de Escrituração Digital (SPED) - Documentos Fiscais Eletrônicos (DFE),Escrituração Fiscal Digital,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-credenciamento-voluntario/,http://www.catalogo.sefaz.ms.gov.br/retificacao-de-escrituracao-fiscal-digital-efd/
Escrituração fiscal digital (EFD) – credenciamento voluntário,Escrituração Fiscal Digital (EFD) – Baixa de notificação,0.718,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Sistema Público de Escrituração Digital (SPED) - Documentos Fiscais Eletrônicos (DFE),Escrituração Fiscal Digital,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-credenciamento-voluntario/,http://www.catalogo.sefaz.ms.gov.br/baixa-de-notificacao-por-falta-de-entrega-de-escrituracao-fiscal-digital-efd/
Escrituração fiscal digital (EFD) – credenciamento voluntário,Escrituração Fiscal Digital (EFD) – Dispensa de entrega,0.741,Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Sistema Público de Escrituração Digital (SPED) - Documentos Fiscais Eletrônicos (DFE),Escrituração Fiscal Digital,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-credenciamento-voluntario/,http://www.catalogo.sefaz.ms.gov.br/dispensa-de-entrega-de-escrituracao-fiscal-digital-efd/
Cadastro da agropecuária (CAP) – inscrição de pescador profissional,Cadastro da Agropecuária (CAP) – Inscrição de Produtor Rural,0.85,Agropecuária;Cadastro Fiscal - CAP,Cadastros,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-pescador-profissional/,http://www.catalogo.sefaz.ms.gov.br/inscricao-de-produtor-rural/
Cadastro da agropecuária (CAP) – inscrição de pescador profissional,Cadastro da Agropecuária (CAP) – Alteração de dados cadastrais,0.744,Agropecuária;Cadastro Fiscal - CAP,Cadastros,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-pescador-profissional/,http://www.catalogo.sefaz.ms.gov.br/atualizacao-do-cadastro-do-produtor-rural/
Cadastro da agropecuária (CAP) – inscrição de pescador profissional,Cadastro da Agropecuária (CAP) – Baixa da Inscrição Estadual,0.772,Agropecuária;Cadastro Fiscal - CAP,Cadastros,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-pescador-profissional/,http://www.catalogo.sefaz.ms.gov.br/baixa-da-inscricao-estadual-de-produtor-rural/
Cadastro da agropecuária (CAP) – inscrição de pescador profissional,Cadastro da Agropecuária (CAP) – Reativação da Inscrição Estadual,0.742,Agropecuária;Cadastro Fiscal - CAP,Cadastros,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-pescador-profissional/,http://www.catalogo.sefaz.ms.gov.br/reativacao-da-inscricao-estadual-da-agropecuaria-cap/
Cadastro da agropecuária (CAP) – inscrição de apicultor e de meliponicultor,Cadastro da Agropecuária (CAP) – Inscrição de Produtor Rural,0.785,Agropecuária;Cadastro Fiscal - CAP,Cadastros,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-apicultor-e-de-meliponicultor/,http://www.catalogo.sefaz.ms.gov.br/inscricao-de-produtor-rural/
Cadastro da agropecuária (CAP) – inscrição de produtor rural em terras indígenas,Cadastro da Agropecuária (CAP) – Inscrição de Produtor Rural,0.857,Agropecuária;Cadastro Fiscal - CAP,Cadastros,Agropecuária,Produtor Rural,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-produtor-rural-em-terras-indigenas/,http://www.catalogo.sefaz.ms.gov.br/inscricao-de-produtor-rural/
Regime especial –  PROEXPRP – Ponta Porã (art. 5º-A do Dec. 14.426/2016),Regime Especial – PROEXPRP Ponta Porã (Art. 5º-A do Dec. 14.426/2016),0.979,Agropecuária;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Regimes Especiais e Autorizações Específicas,Agropecuária,Empresa,https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-ponta-pora-art-5o-a-do-dec-14-426-2016/,https://www.catalogo.sefaz.ms.gov.br/regime-especial-proexprp-ponta-pora-art-5o-a-do-dec-14-426-2016/
