Categorias,Perfis,Serviços,URL
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,"Solicitação de cópia de documentos, processos ou outra relativa a benefícios fiscais",https://www.catalogo.sefaz.ms.gov.br/solicitacao-de-copia-de-documentos-processos-ou-outra-relativa-a-beneficios-fiscais/
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Agropecuária,Nota fiscal eletrônica (NF-e) – credenciamento,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-eletronica-nf-e-credenciamento/
Agropecuária;Comércio Indústria e Serviços;Créditos Fiscais - CAP;Créditos Fiscais - CCIS,Agropecuária,ICMS – comunicação de registro extemporâneo de crédito fiscal,https://www.catalogo.sefaz.ms.gov.br/icms-comunicacao-de-registro-extemporaneo-de-credito-fiscal/
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS;Sistema Público de Escrituração Digital (SPED) - Documentos Fiscais Eletrônicos (DFE),Agropecuária,Escrituração fiscal digital (EFD) – credenciamento voluntário,https://www.catalogo.sefaz.ms.gov.br/escrituracao-fiscal-digital-efd-credenciamento-voluntario/
Agropecuária;Documentos Fiscais - CAP;Notícias,Agropecuária,Nota fiscal de produtor eletrônica (NFP-e) – transferência interestadual de mercadorias – emissão,https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-transferencia-interestadual-de-mercadorias-emissao/
Agropecuária;Cadastro Fiscal - CAP;Cadastro Fiscal - CCIS;Comércio Indústria e Serviços,Agropecuária,Exclusão ou inclusão de pessoa no quadro societário de empresa inscrita no CCE,https://www.catalogo.sefaz.ms.gov.br/exclusao-ou-inclusao-de-pessoa-no-quadro-societario-de-empresa-inscrita-no-cce/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Autorização específica – dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais (art. 72, V do Anexo V ao RICMS) – apenas para usinas e industriais de combustíveis, derivados ou não de petróleo",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-art-72-v-do-anexo-v-ao-ricms-apenas-para-usinas-e-industriais-de-combu/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços,Agropecuária,"Autorização específica – dilatação do prazo para pagamento semanal do ICMS devido nas saídas interestaduais – para outras empresas (que NÃO SE ENQUADRAM como: cerealistas ou comercializadoras de cereais, usinas ou industriais de combustíveis, frigoríficos e atacadistas de carne)",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-dilatacao-do-prazo-para-pagamento-semanal-do-icms-devido-nas-saidas-interestaduais-para-outras-empresas-que-nao-se-enquadram-como-cerealistas-ou-comerciali/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;e-Fazenda;e-Fazenda;e-Fazenda;e-Fazenda,Agropecuária,"Procuração digital para acesso ao e-Fazenda – cadastro de procurador/representante legal em caso de incapacidade, espolio e demanda judicial",https://www.catalogo.sefaz.ms.gov.br/procuracao-digital-para-acesso-ao-e-fazenda-cadastro-de-procurador-representante-legal-em-caso-de-incapacidade-espolio-e-demanda-judicial/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Portal e-Fazenda;Portal e-Fazenda;Portal e_Fazenda,Agropecuária,e-Fazenda – cadastro,https://www.catalogo.sefaz.ms.gov.br/e-fazenda-cadastro/
Agropecuária;Cadastro Fiscal - CAP,Agropecuária,Desvincular CAR – Cadastro Ambiental Rural por transmissão de propriedade,https://www.catalogo.sefaz.ms.gov.br/desvincular-car-cadastro-ambiental-rural-por-transmissao-de-propriedade/
Agropecuária;Cadastro Fiscal;Cadastro Fiscal - CAP;Cadastro Fiscal - CCIS;Cidadão / Governo / Geral;Comércio Indústria e Serviços,Agropecuária,Providência cadastral para apreciação da Superintendência,https://www.catalogo.sefaz.ms.gov.br/providencia-cadastral-para-apreciacao-da-superintendencia/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,Documentação fiscal solicitada por terceiro,https://www.catalogo.sefaz.ms.gov.br/documentacao-fiscal-solicitada-por-terceiro/
Agropecuária;Cidadão / Governo / Geral;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS;Outras solicitações - Geral,Agropecuária,Demonstrativos de PPD de ICMS e ITCD,https://www.catalogo.sefaz.ms.gov.br/demonstrativos-de-ppd-de-icms-e-itcd/
Agropecuária;Comércio Indústria e Serviços;Outras solicitações - CAP;Outras solicitações - CCIS,Agropecuária,Microempresa Simples Nacional – reconsideração da análise para enquadramento no benefício do Decreto nº 16.177/2023,https://www.catalogo.sefaz.ms.gov.br/microempresa-simples-nacional-reconsideracao-da-analise-para-enquadramento-no-beneficio-do-decreto-no-16-177-2023/
Agropecuária;Cadastro Fiscal - CAP,Agropecuária,Cadastro da agropecuária (CAP) – inscrição de pescador profissional,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-pescador-profissional/
Agropecuária;Cadastro Fiscal - CAP,Agropecuária,Cadastro da agropecuária (CAP) – inscrição de apicultor e de meliponicultor,https://www.catalogo.sefaz.ms.gov.br/cadastro-da-agropecuaria-cap-inscricao-de-apicultor-e-de-meliponicultor/
Agropecuária;Comércio Indústria e Serviços;Documentos Fiscais - CAP;Documentos Fiscais - CCIS,Agropecuária,"Nota fiscal de produtor eletrônica (NFP-e) – baixa de pendência de NFP-e de remessa com suspensão/não-incidência do ICMS, se comprovado o retorno da mercadoria",https://www.catalogo.sefaz.ms.gov.br/nota-fiscal-de-produtor-eletronica-nfp-e-baixa-de-pendencia-de-nfp-e-de-remessa-com-suspensao-nao-incidencia-do-icms-se-comprovado-o-retorno-da-mercadoria/
Agropecuária;Declarações - CAP,Agropecuária,Transferência de animal registrado no SMEPA (sistema de monitoramento de estoque de produtos agropecuários),https://www.catalogo.sefaz.ms.gov.br/transferencia-de-animal-registrado-no-smepa-sistema-de-monitoramento-de-estoque-de-produtos-agropecuarios/
Agropecuária;Benefícios Fiscais - CAP,Agropecuária,ICMS – redução da base de cálculo nas operações internas com energia elétrica destinada a produtor rural para fim específico de irrigação,https://www.catalogo.sefaz.ms.gov.br/icms-reducao-da-base-de-calculo-nas-operacoes-internas-com-energia-eletrica-destinada-a-produtor-rural-para-fim-especifico-de-irrigacao/
Agropecuária;Autorizações - CAP,Agropecuária,"Autorização específica – diferimento do ICMS nas saídas internas de algodão em pluma, realizadas por produtor, para outro estabelecimento do mesmo produtor (art. 10, II do Dec. 9.895/2000) – apenas p/ produtores de algodão",https://www.catalogo.sefaz.ms.gov.br/autorizacao-especifica-diferimento-do-icms-nas-saidas-internas-de-algodao-em-pluma-realizadas-por-produtor-para-outro-estabelecimento-do-mesmo-produtor-art-10-ii-do-dec-9-895-2000/
Agropecuária;Autorizações - CAP;Autorizações - CCIS;Comércio Indústria e Serviços;Regimes Especiais - CAP;Regimes Especiais - CCIS,Agropecuária,"Levantamento ou devolução de garantia (art. 17 e 18 do Subanexo Único ao Anexo V ao RICMS) oferecida para:  a) obtenção/renovação de regime especial ou autorização específica, b) cadastro como distribuidora de combustíveis estabelecida em MS, c) cadastro como contribuinte substituto tributário de MS estabelecido em outra UF",https://www.catalogo.sefaz.ms.gov.br/levantamento-ou-devolucao-de-garantia-art-17-e-18-do-subanexo-unico-ao-anexo-v-ao-ricms-oferecida-para-obtencao-renovacao-de-regime-especial-ou-autorizacao-especifica-cadastro/
